whole_1,whole_2
31.3,5.6371070224589
31.4,5.47074286246843
31.5,5.30737833844764
31.6,5.14727342707608
31.7,4.99046186627282
31.8,4.83602392865315
31.9,4.68403836112874
32,4.53494039632369
32.1,4.38887028753542
32.2,4.24573525140843
32.3,4.10562438389091
32.4,3.96847495326004
32.5,3.83417631088249
32.6,3.70277561560367
32.7,3.57414911502367
32.8,3.44826012944937
32.9,3.32505487742361
33,3.20446979277218
33.1,3.08646201954186
33.2,2.97100572690618
33.3,2.85804824264631
33.4,2.74754609218345
33.5,2.63950553226696
33.6,2.5338737404934
33.7,2.43061707287949
33.8,2.3297302609023
33.9,2.2311933998366
34,2.13497276778691
34.1,2.04105825959418
34.2,1.94946514358125
34.3,1.8601602735869
34.4,1.77312866639514
34.5,1.68841001208395
34.6,1.6059772454589
34.7,1.5258251612231
34.8,1.4480023043398
34.9,1.37251831953309
35,1.29935336395986
35.1,1.22850743762008
35.2,1.16000361381783
35.3,1.09407110540297
35.4,1.03055316894378
35.5,0.969449804440266
35.6,0.910761011892427
35.7,0.854618589290377
35.8,0.801073029603266
35.9,0.750036498554425
36,0.701508996143856
36.1,0.655490522371558
36.2,0.611704996025026
36.3,0.570325646832042
36.4,0.531354770357664
36.5,0.494792366601893
36.6,0.460455671445915
36.7,0.428091012072402
36.8,0.397816476184704
36.9,0.369531936665171
37,0.343043100159205
37.1,0.318326749897647
37.2,0.295298573812784
37.3,0.273879218818521
37.4,0.253982404959476
37.5,0.235520969838843
37.6,0.218362073146221
37.7,0.202429906884117
37.8,0.187630072198371
37.9,0.17391393517033
38,0.161181004739776
38.1,0.149345725280483
38.2,0.138348117223256
38.3,0.128112850159151
38.4,0.118581378735531
38.5,0.109725692056458
38.6,0.101497005797417
38.7,0.0938653473597898
38.8,0.0867871893424935
38.9,0.0802259163839322
39,0.0741461942200422
39.1,0.068510180231212
39.2,0.0632930196381334
39.3,0.0584574897219962
39.4,0.053980604004361
39.5,0.0498375771710043
39.6,0.0460016593880769
39.7,0.0424665480493771
39.8,0.0392049615346588
39.9,0.0361960116929222
40,0.0334188103731682
40.1,0.0308586406132407
